X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,675,null,null,988,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,1050,null,null,955,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,825,null,null,1004,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,450,null,null,975,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,900,null,null,992,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,525,null,null,964,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,600,null,null,1021,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,975,null,null,1045,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,750,null,null,976,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,600,null,null,951,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,750,null,null,1035,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,975,null,null,1004,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,900,null,null,1024,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,525,null,null,957,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,450,null,null,1003,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,675,null,null,957,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,825,null,null,1015,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,1050,null,null,981,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,825,null,null,961,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,525,null,null,1010,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,450,null,null,962,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,750,null,null,984,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,900,null,null,952,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,spikey
Chrome,600,null,null,1010,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,675,null,null,1016,83,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
Chrome,1050,null,null,1015,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,red
Chrome,975,2019-07-10T17:02:29.692Z,good,981,76,2019-07-10T16:42:51.938Z,A1PC5HFTBIR2QA,odd
