X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1030,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,1
Chrome,975,null,null,1010,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,450,null,null,992,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,0
Chrome,600,null,null,995,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,675,null,null,1047,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,0
Chrome,900,null,null,1001,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,1
Chrome,825,null,null,1039,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,750,null,null,1008,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,1
Chrome,525,null,null,950,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,825,null,null,1002,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,1
Chrome,450,null,null,1001,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,975,null,null,967,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,525,null,null,1036,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,0
Chrome,750,null,null,1041,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,600,null,null,1038,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,0
Chrome,900,null,null,1024,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,0
Chrome,1050,null,null,985,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,675,null,null,1043,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,975,null,null,1049,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,675,null,null,1048,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,0
Chrome,1050,null,null,1028,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,1
Chrome,525,null,null,1002,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,0
Chrome,600,null,null,992,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,900,null,null,962,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,1
Chrome,750,null,null,976,76,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,odd,1
Chrome,825,null,null,986,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,spikey,0
Chrome,450,2019-07-12T17:05:12.068Z,,1008,83,2019-07-12T16:54:50.598Z,A219Y0MX694TM2,red,0
